IMG_NAME,FUNC_NAME,TOT_CYCLES,TOT_FLOPS,I_ADDS,I_MULS,I_SUBS,I_DIVS,FP_ADDS,FP_MULS,FP_SUBS,FP_DIVS,CPU_FREQUENCY,BYTES_FP,BYTES_INT
benchmark_img/1_1.bmp,compress,28211473,15728640,5242880,5242880,5242880,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,45584209,15728640,5242880,5242880,5242880,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,33710614,15728640,5242880,5242880,5242880,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,51835897,15728640,5242880,5242880,5242880,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,41665743,15728640,5242880,5242880,5242880,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,47991556,15728640,5242880,5242880,5242880,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,74851874,50331648,16777216,16777216,16777216,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,55882858,50331648,16777216,16777216,16777216,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,49616081,15728640,5242880,5242880,5242880,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,37466380,15728640,5242880,5242880,5242880,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,57678999,50331648,16777216,16777216,16777216,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,65799803,50331648,16777216,16777216,16777216,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,106831527,50331648,16777216,16777216,16777216,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,67667458,50331648,16777216,16777216,16777216,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,99534615,50331648,16777216,16777216,16777216,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,161126729,50331648,16777216,16777216,16777216,0,0,0,0,0,2.700000,0,0
